rec_id,url
1,url
2,http://app-royalmail.com/LOGIN/
3,https://duringcowdeqpt.com/uploads/NFCUWelcome/Summary/
4,https://followersltd.000webhostapp.com/index.html/
5,https://pay-pal-end-to-end-encryption-log.000webhostapp.com/
6,https://mizelle-johnson.com/ivrlb/VR/Login.html
7,http://steamstore.ning.tel/
8,https://czech-post-esk-pota-93ef47.ingress-erytho.easywp.com/page/ceskaposta-edited/NV6588123/
9,https://discocrd.gifts/QK8WQq9H68HYfs72
10,http://material-pubgmobile.org/
11,https://officesecuredocument.officesecureone.repl.co/
12,http://hamc.org.in/himalayan/source/himkalp/009874-8575756-7565746-875646001/REF-34983739847928472-43243243248E32/REF-323162187936128732173863-321312892381/f5637e8c982d25252419b1ad83b9bc8b/
13,http://steqmcpmmynity.000webhostapp.com/
14,http://loginmailorangewebmail.moonfruit.com/
15,https://sites.google.com/view/aselok
16,https://u.to/oCauGw?Confirmation-Facebook-Help
17,http://ogarnac.pl/kazdy/
18,https://sec01mtbver.gotdns.ch/M&T/login.php?online_id=427d782391056de8b58bafa2c&country=United+States&iso=US
19,http://vps57167.inmotionhosting.com/~pombe/homee/zyu/adobe/source/index.php?email=markus.jaspers@krone.de
20,https://raptipress.com/wp-content/themes/24/mufg.jp/c550e939e01525dfc95871ced31c127b/login.php
21,https://nen1mo003.000webhostapp.com/login.html
22,http://m.panda-tv.store.aptoide.com/
23,http://claim-diamond-gratis756.codash0p.com/
24,http://mysection-mysettings.ml/verification/3N16EC4NA7NND44434N8
25,https://synccheckingin.weebly.com/
26,https://dhl-greetings.com/
27,http://freefire27thang3.com/
28,https://fra1.digitaloceanspaces.com/organizationkeep/Micro.html
29,http://trail.tmr.asia/api/t/c/usr_agM7zqPAoPaMWpPXo/tsk_anzAWvE3ookgbdE6u/enc_U2FsdGVkX18NcedICsGw2OAwKbJ1pe5JvqVLygt8jVPp5xqzrNzw8dI3l03YiudOfYfroQeDDD3nUbyOBdz-oQ==
30,http://endesarrollo.holacliente.com/alaskaausa_org
31,https://q3998.com/
32,http://sync-quick.org/
33,http://725865102777075249.eu-gb.cf.appdomain.cloud/?3381278348875249824mzw6hguoe3381278348875249824=https&9030037784=2u
34,http://soehokgiec3.com/
35,http://informationsupportpagesrecovery.co.vu/
36,https://deejaydesignz.co.za/okok/?pwd=nab
37,https://minyakhabis.000webhostapp.com/cmosts.html
38,https://www3.ml.meiceaord.com/
39,https://26653577.com:8989/
40,https://178-62-213-188.cprapid.com/pi/app.php?ver=10&ServerID=AwmqqSHWJmNudmZENAjuI
41,https://m.newcreationambassadom.ervlces.runescape.com-fe.ru/login_up.php?success_redirect_url=%2F
42,http://spinlucky-season13.com/
43,http://metamask-extension.kolasinresort.com/
44,http://mail-security.moonfruit.com/
45,http://visa.com-vmore-5309718911.imagelinetech.com/
46,https://administrador.mercadoriaz.com.br/DLLFIE0045FCL/abcc5329cfe5846db63ff4dee74eb906/info.php
47,http://dropbox5.byethost7.com/?i_1
48,http://shreeraghav.com/webmail-op.jp/webmail-op.jp/
49,http://expertitglobal.com/securefile/onedrive-3D4/
50,http://thechicconfidential.com/wp-includes/js/Wellsv2/Update/index.php
51,http://m.g2205.com/
52,http://836591ee.com/
53,https://my-dream-home.yolasite.com/
54,https://trekonline.ru:443/
55,http://upowerful.com/1/pagepage.html
56,http://oslgrnd1gm.temp.swtest.ru/
57,http://valocsfunes.tk/striccheck_reportingpoints/protocol_method/jkssi/
58,https://ewigmeiwww.m.ervlces.runescape.com-tp.ru/
59,http://walmart.inhershoesrk.com/amagc/
60,https://game-eu-message-portal.com/s/e?b=bbva&amp;m=ABD2wwnP9CJTVgoGLdvQt2qp&amp;em=Marivel.Medina@usbank.com
61,https://mail-mofe-gov-pk-viewsrc.herokuapp.com/
62,https://adexsyhalrebas.ml/
63,https://alfayhaco.com/N26.com-servicetechnique-miseajour/N26-Link
64,https://23447932.com:8989/
65,https://messagerie-vocale-orange222.yolasite.com/
66,https://modest-kapitsa.23-94-190-112.plesk.page/p/c2c18/
67,http://annaeva.hu/modules/wdoptionpanel/upload/kgv/gre_owa.html
68,https://mercadopago.azurewebsites.net/
69,https://www.ronin-chain.com/
70,http://www.pilgrimapp.com/wp-mails/
71,https://forms.zohopublic.eu/sandchend1/form/SIGNINYOURBTACCOUNTCORRECTLY/formperma/tdHSe1643EvL0K_1XqBkzYXJmPvjkYNp2FtAQZ_4RIk
72,https://mibasbuy.com/01free/facebook/
73,http://www.mibasbuy.com/
74,https://hooklift.lt/
75,https://pubskins.com/
76,https://domeint.com/jss/redirect/netlfix/login.php
77,http://distribuidoraaguaprata.com.br/wp-htaccess/helein/zeeyon/
78,https://cloudshare-account-auth.firebaseapp.com/login-srf&wa-wsigni...
79,https://www.m.menrccarii.com/
80,https://docusigncheckking31.web.app/
81,https://4365b67f-a597-4e17-8b51-179628.godaddysites.com/
82,http://digitalink.hu/aaa/AMEN/en.php?rand=13InboxLightaspxn.1774256418&
83,http://tirupurtoursntravels.com/we/wetransfer/?email=commodity.investments@jpmorgan.com
84,http://hosting2073629.online.pro/
85,http://www.katawa-shoujo.com/steam/Steam.htm
86,http://insstagrams.com/
87,http://g-pancakeswap.com/
88,https://sued-stelle-2021.xyz/s/anmeldung.php
89,http://mailing.languedoc-roussillon.cci.fr/zahlung/POST/DE/Package/Zahlungsmethode.php?NAME_PATH=track_yy_de349499l24&SCREEN=Zahlungsmethode
90,http://viewsnet.abaidesign.cn/
91,http://luckybox21.com/
92,https://fghjftgu457u8tfhg.blogspot.com/
93,http://20-65-108-149.cprapid.com/dpd-uk1/
94,http://www.rakoten-card.buogfbizkugf.gq/
95,https://steamcommunityo.com/
96,https://heladc.weebly.com/
97,https://yaalpacks.in/24/mufg.jp/
98,https://inpost-pl.112121.space/proccess1635083356781494
99,https://inpost.pl/track98084586
100,https://wh951295.ispot.cc/Login.php
101,http://instapish.glitch.me/
102,https://us.irs-profilemanagement.com/home
103,https://65tt.weebly.com/
104,http://tqsatrx.gq/info/citizenblock/89a3e744b85ba17dad6f4f94639f2eeb.php
105,https://sistemadetitulacion.edec.mx/public/bc/login.html?logon=set&0976b164
106,https://yaassdas.weebly.com/
107,https://247-s3x-fb-group.weebly.com/
108,http://www.azhibo168.com/
109,https://web-event-freefire-terbaru-2021.000webhostapp.com/
110,https://trust-wallet-community-reward.000webhostapp.com/
111,https://fggfgffgvvvv.000webhostapp.com/help-support.html
112,https://event-topup-info.000webhostapp.com/
113,https://eby-kleinanzeigen-de-anzeige-279371901.000webhostapp.com/
114,https://bestofferbd.000webhostapp.com/
115,https://womensstore0.000webhostapp.com/
116,https://nairawithus.000webhostapp.com/
117,https://galiciaswebfsdgura.000webhostapp.com/
118,http://345betasus.com/
119,https://beetasusgris.blogspot.com/
120,http://janemangaswtenan.com/
121,https://france--paris-orange-pro-2021-orangefr.yolasite.com/
122,https://theocean.hu/wp-includes/assets/eu/Seleccione_medio_de_pago.php
123,http://dentallabor-morgenstern.de/office/v3/40fce6e442dbc68ceba1f0bb4b032d551743a10bd5c242f31bff898af7db59a34f614ae96686949eaa40c84b16f7e006/
124,https://ff-membership-garena.com/
125,http://dhl.track-cargo.com/
126,http://139.59.231.97/mqh0b1k
127,https://en.accountviolation-8uj9.ml/?update_security_help
128,https://www.vaceinemrsa-japon.buzz/
129,https://modulosegurosantander.com/fisica/d/index.php
130,https://lojaodosdezreais.herokuapp.com/
131,https://rogersssmemberrcentree.weebly.com/
132,https://metamaskdownloadandroid.xyz/
133,http://claimevent-ffterbaru.duckdns.org/
134,http://c2280675.ferozo.com/static/media/-/gouv-fr/4mtk2zty=/
